description,main_category,sub_category
"Debit Card Purchase, ONLINE PURCHASE 5 NOV2024, HUNGRYPANDA TECH LTD. BC",Food,Takeout
"Debit Card Purchase, ONLINE PURCHASE 7NOV2024, HUNGRYPANDA TECH LTD. BC",Food,Takeout
"Debit Card Purchase, ONLINE PURCHASE 7NOV2024, HUNGRYPANDA TECH LTD. BC",Food,Takeout
"Debit Card Purchase, RECURRING PYΜΝΤ 7NOV2024, UBER ONE ON",Subscription,Subscription
"Debit Card Purchase, ONLINE PURCHASE 7NOV2024, UBER CANADA/UBEREATS ON",Food,Takeout
"Debit Card Purchase, ONLINE PURCHASE 8 NOV2024, UBER CANADA/UBEREATS ON",Food,Takeout
"Debit Card Purchase, PENTA Q ESPORTS",Entertainment,Other Entertainment
"Debit Card Purchase, PENTA Q ESPORTS",Entertainment,Other Entertainment
INTERAC e-Transfer Sent,Other,Transfer
"Debit Card Purchase, HAPPY LAMB Hот",Food,Restaurant
"Debit Card Purchase, UNIQLO CANADA P",Other,Life Style (E.g Barbershop)
"Debit Card Purchase, UNIQLO CANADA P",Other,Life Style (E.g Barbershop)
"Debit Card Purchase, SQUARE ONE - GO",Other,Unknown
"Debit Card Purchase, SHOPPERS DRUG M",Groceries,Home Supplies
"Debit Card Purchase, SHOPPERS DRUG M",Groceries,Home Supplies
"Debit Card Purchase, RECURRING PYΜΝΤ 11NOV2024, ΟΡΕΝΑΙ CHATGPT SUBSC CA,",Subscription,Subscription
"Debit Card Purchase, ONLINE PURCHASE 9 NOV2024, FANTUAN DELIVERY BC",Food,Takeout
"Debit Card Purchase, POPEYES # 12667",Food,Takeout
"Debit Card Purchase, THE ARCH NOODLE",Food,Restaurant
"Debit Card Purchase, BAB KOREAN REST",Food,Restaurant
"Debit Card Purchase, ONLINE PURCHASE 11NOV2024, LYFT 1 RIDE 11-10 BC",Transport,Ride Share
"Debit Card Purchase, ONLINE PURCHASE 11NOV2024, HUNGRYPANDA TECH LTD. BC",Food,Takeout
"Debit Card Purchase, SUBWAY 13152",Food,Takeout
"Debit Card Purchase, ONLINE PURCHASE 12NOV2024, STARBUCKS 800-782-728 ON",Food,Coffee/Beverage
"Debit Card Purchase, CHICHOP X NORI",Food,Restaurant
"Debit Card Purchase, COCO FRESH TEA",Food,Coffee/Beverage
"Debit Card Purchase, ONLINE PURCHASE 13NOV2024, FANTUAN DELIVERY BC",Food,Takeout
"Debit Card Purchase, POPEYES # 12667",Food,Takeout
"Debit Card Purchase, ESSO CIRCLE K",Transport,Gas
"Debit Card Purchase, PENTA Q ESPORTS",Entertainment,Other Entertainment
"Debit Card Purchase, RECURRING PYMNT 14NOV2024, FIDO MOBILE 826 ON",Bills,Utilities
"Debit Card Purchase, HAPPY LAMB Hот",Food,Restaurant
"Debit Card Purchase, YOGURTYS FROYO",Food,Restaurant
"Debit Card Purchase, SHOPPERS DRUG M",Groceries,Home Supplies
"Debit Card Purchase, SUBWAY 13152",Food,Takeout
"Debit Card Purchase, THE ARCH NOODLE",Food,Restaurant
"Debit Card Purchase, ONLINE PURCHASE 15NOV2024, FANTUAN DELIVERY BC",Food,Takeout
